job,专业,性格,软件技能,工作内容,品质
产品经理,"产品经理
[无",数据敏感、有创新思维、合作能力强,企业微信小程序、企业微信运营平台、数据分析工具,负责产品设计、实施和优化、构建人群标签体系、跟踪行业动态、与团队合作确保产品上线,良好的数据分析能力、对数据敏感、具备创新能力]
产品经理,"产品经理
【无",沟通表达能力、思维活跃、敬业精神,项目管理、市场调研、品牌推广,积极主动、严谨细致、责任心强】,无
产品经理,"产品经理
[计算机或金融等相关专业",善于沟通合作,熟练应用产品原型设计工具，如Axure、Sketch等者优先,负责业务条线需求对接、分析及整理工作，评估需求价值和方案可行性；负责需求的研发生命周期管理，包括需求调研、需求分析、需求评审、进度跟踪、风险控制、迭代优化等，梳理并设计各个产品功能点、流程图、原型图，编写业务需求说明书，并向技术开发团队讲解设计逻辑；与设计、开发、测试等团队紧密合作，驱动项目实施，达成产品目标；持续跟进需求相关的日常运营，保证用户体验及持续迭代升级,具备较强的业务分析能力、风险管理能力、判断力、执行力和文档能力]
产品经理,"产品经理
[无",敏锐、创新意识,数据分析能力,市场、消费者研究和分析、制定产品线规划、推动产品上市推广、产品生命周期管理,好奇心、创新意识、学习能力]
产品经理,"产品经理
[无",创新思维、团队协作能力、沟通能力,项目管理、产品创新、市场导向,热爱户外生活、商业洞察力、创新思维],无
产品经理,"产品经理
[制冷相关专业优先", 无, 无, 水机新产品开发、质量、成本把控、结构设计、订单审核、客户端售前技术支持, 项目管理经验、有市场竞争力的技术方案能力]
产品经理,"产品经理
【专业】电商/数据产品设计
【性格】思路清晰、有较强的表达能力、解决问题能力、项目协调能力及团队意识
【软件技能】Axure、Visio等原型搭建工具
【工作内容】负责项目产品开发、分析并调研用户需求，制作高保真产品原型图、编写PRD，协调开发、测试等部门有效沟通，组织验收测试，制定产品上线、改版计划，负责用户培训，参与项目实施，关注竞品及数据情况，深入用户使用场景，挖掘用户痛点，推动产品持续创新及优化
【品质】具有竞争力的薪酬和绩效福利，完善的社会保险和住房公积金，创业互联网公司开放包容的工作氛围和人际关系，丰富的培训资源和迅速提升职业发展路径，具备出色的项目管理能力，零售相关小程序APP、CDP、MA、SCRM设计能力和经验，熟悉产品开发流程，精通用户体验、交互设计和信息架构",无,无,无,无
产品经理,"产品经理
计算机相关专业",沟通表达能力和团队合作精神, Axure，Visio, 需求分析、产品功能设计、MRD、PRD编写、产品需求跟进落地、数据分析、用户体验优化,创新思维、创业激情、能承受工作压力。
产品经理,"产品经理
食品工程、生物化工等相关专业本科以上学历
无
无
负责食品配方工艺研发、提供技术支持、负责技术资料的整理及培训
无",无,无,无,无
产品经理,"产品经理
【基建相关行业背景，有路桥隧等相关产品开发经验优先",逻辑能力强，有较强的抗压能力与目标意识,无,制定产品规划并推动实施上线、洞察行业发展和业务策略、协同业务团队实现产品解决方案规模化、商业化,优秀的沟通能力和学习能力】
产品经理,"产品经理
无",无,无,无,无
产品经理,"产品经理
[电气工程、电子、通信、自动化、电力系统",工作积极主动、认真负责、细致耐心、性格开朗、具有良好的团队意识,IPD开发流程、产品需求导入,负责工商业储能产品及系统的方案制定、配合客户技术规格协议、产品的全周期负责、产品需求分解、执行项目规划、方案沟通、产品资料包的编写与更新,5年以上新能源工作经验、有储能系统集成、电池储能项目相关经验者优先]
产品经理,"产品经理
[无",沟通及协调能力强、具备独立逻辑思考能力、学习能力强、执行力强,无,对接业务部门，还原业务现状，分析问题，输出目标流程；管理业务和管理需求，完成需求分析与产品设计；协调资源设计、开发、测试资源，推动产品落地；跟进产品使用情况、用户体验，主动推动产品优化迭代,无]
产品经理,"产品经理
无",有责任心和执行力，拥有优秀的跨组、跨部门沟通能力,无,负责跟进产品从业务调研、需求分析、产品规划、功能设计及发布的整个流程；与设计和开发团队紧密协作，根据需求优先级，推动制定产品发布计划，跟进执行；深入研究产品，及时准确把握市场需求和用户反馈，提升创新性产品策略；负责把控产品推进进度、协调突发问题与质量管理工作,具备产品创新意识，学习能力强，逻辑清晰，追求极致用户体验，主动发现问题和解决问题
产品经理（营销平台）,"产品经理（营销平台）
[计算机科学、数学、统计学",乐观开放、独立思考,无,产品规划、设计和商业化落地、协调多部门资源推进平台发展、关注行业发展趋势、推进创新科技与营销场景的融合应用,优秀的职业精神、团队协作能力、市场洞察力]
资深产品经理（IM）,"专业：无
性格：热爱钻研与产品创新、强成就动机、富有激情、有主见
软件技能：无
工作内容：负责IM协作办公产品的功能迭代和用户体验，深入了解企业内部不同用户人群的协作办公需求，持续研究并分析国内外主流竞品、各领域优秀产品的发展动态及前沿趋势，对产品从立项到交付的全生命周期负责，跟进产品的用户反馈，持续开展调研访谈，推进功能迭代和体验优化，提升用户口碑
品质：注重用户体验、具备行业洞察和业务分析能力、优秀的组织协调能力、能够推进跨部门协作",无,无,无,无
用户互动产品经理,"互联网产品设计、商业化产品设计
沟通能力强、抗压能力强
无
负责互动产品工作，协调资源推动产品功能实施，产品上线后的跟踪优化和数据工作
独立工作能力、团队沟通和协调能力",无,无,无,无
产品经理,"产品经理
[无",沟通协调能力,原型设计工具、项目管理工具,产品规划、用户需求挖掘、研发管理、跨部门协调、用户体验优化,工作态度积极、团队意识强、抗压能力]
产品经理,"产品经理
[无",逻辑思维、数据分析和产品规划设计能力,无,负责快手招聘业务B端产品工作，与商家侧运营深度协同，梳理业务流程和业务需求，通过产品能力实现提质增效，深刻理解电商或直播行业，把握产品和运营现状，判断机会点，推动产品和业务持续创新,跨部门沟通协调和抗压能力强]
产品经理,"产品经理
[无",有事业心、创业创新精神、能承受较大的工作压力，执行力强,需求分析、原型设计、产品验收确认,配合项目团队，输出产品需求文档； 组织协调产品从策划思路、结构、流程、规则、交互设计并推动到上线；统筹产品项目的整体进程，跟踪产品及功能的上线前后的运营数据，把控产品的细节和并对产品进行持续优化和迭代；整合资源，建立与用户的沟通渠道，获取并分析用户需求，指导和优化产品功能及用户体验；分析和挖掘用户需求，独立完成产品的策划、原型、产品流程和交互设计；驱动多个产品线(或产品模块)的技术开发团队；负责和研发，技术等关键环节对接，并对产品上线负责；负责和合作方讨论合作模式，并推进和落实合作；协调资源推动产品功能实施，跟进项目的进度；分析和预测同类产品的市场、把握市场趋势，为决策提供准确的相关信息，并提出决策方案，学习行业优秀解决方案，分析产品数据，输出竞品分析；定期复盘产品，总结产品设计中存在的问题，制定改进计划；能够参与各种品牌宣传资料的设计、撰写、修改工作,良好的团队沟通协同能力、逻辑思维能力、用户感知力、市场发展趋势洞察力、创新意识、分析研判能力
